FLIGHTNO,SRC,DES,DEP,ARR,DELAY
8655,Banglore,Raipur,15:43,19:55,94
1210,Nagpur,Mumbai,12:10,14:20,-12
8655,Banglore,Raipur,15:43,19:55,136
8512,Kolkata,Delhi,20:23,23:12,28
8512,Kolkata,Delhi,20:23,23:12,113
8655,Banglore,Raipur,15:43,19:55,52
8512,Kolkata,Delhi,20:23,23:12,-2
1210,Nagpur,Mumbai,12:10,14:20,98
8655,Banglore,Raipur,15:43,19:55,122
8512,Kolkata,Delhi,20:23,23:12,136
8512,Kolkata,Delhi,20:23,23:12,41
1210,Nagpur,Mumbai,12:10,14:20,-12
1210,Nagpur,Mumbai,12:10,14:20,109
8512,Kolkata,Delhi,20:23,23:12,87
8655,Banglore,Raipur,15:43,19:55,91
8512,Kolkata,Delhi,20:23,23:12,147
1210,Nagpur,Mumbai,12:10,14:20,112
8512,Kolkata,Delhi,20:23,23:12,145
1210,Nagpur,Mumbai,12:10,14:20,78
8655,Banglore,Raipur,15:43,19:55,5
8512,Kolkata,Delhi,20:23,23:12,92
8512,Kolkata,Delhi,20:23,23:12,142
1210,Nagpur,Mumbai,12:10,14:20,64
8655,Banglore,Raipur,15:43,19:55,42
8512,Kolkata,Delhi,20:23,23:12,61
8512,Kolkata,Delhi,20:23,23:12,8
8512,Kolkata,Delhi,20:23,23:12,114
8655,Banglore,Raipur,15:43,19:55,109
1210,Nagpur,Mumbai,12:10,14:20,96
8512,Kolkata,Delhi,20:23,23:12,61
8512,Kolkata,Delhi,20:23,23:12,92
1210,Nagpur,Mumbai,12:10,14:20,71
8655,Banglore,Raipur,15:43,19:55,83
8655,Banglore,Raipur,15:43,19:55,42
8655,Banglore,Raipur,15:43,19:55,103
1210,Nagpur,Mumbai,12:10,14:20,91
1210,Nagpur,Mumbai,12:10,14:20,96
8655,Banglore,Raipur,15:43,19:55,104
1210,Nagpur,Mumbai,12:10,14:20,119
8655,Banglore,Raipur,15:43,19:55,8
8512,Kolkata,Delhi,20:23,23:12,20
8655,Banglore,Raipur,15:43,19:55,95
8512,Kolkata,Delhi,20:23,23:12,12
8512,Kolkata,Delhi,20:23,23:12,49
8512,Kolkata,Delhi,20:23,23:12,125
1210,Nagpur,Mumbai,12:10,14:20,142
8655,Banglore,Raipur,15:43,19:55,28
1210,Nagpur,Mumbai,12:10,14:20,143
1210,Nagpur,Mumbai,12:10,14:20,112
1210,Nagpur,Mumbai,12:10,14:20,31
8512,Kolkata,Delhi,20:23,23:12,68
1210,Nagpur,Mumbai,12:10,14:20,75
8512,Kolkata,Delhi,20:23,23:12,132
8512,Kolkata,Delhi,20:23,23:12,26
8655,Banglore,Raipur,15:43,19:55,87
8655,Banglore,Raipur,15:43,19:55,17
1210,Nagpur,Mumbai,12:10,14:20,54
8512,Kolkata,Delhi,20:23,23:12,32
1210,Nagpur,Mumbai,12:10,14:20,67
8655,Banglore,Raipur,15:43,19:55,119
8512,Kolkata,Delhi,20:23,23:12,-8
8655,Banglore,Raipur,15:43,19:55,95
8512,Kolkata,Delhi,20:23,23:12,135
1210,Nagpur,Mumbai,12:10,14:20,37
8655,Banglore,Raipur,15:43,19:55,83
8512,Kolkata,Delhi,20:23,23:12,118
8512,Kolkata,Delhi,20:23,23:12,69
8655,Banglore,Raipur,15:43,19:55,137
1210,Nagpur,Mumbai,12:10,14:20,-8
8512,Kolkata,Delhi,20:23,23:12,10
8655,Banglore,Raipur,15:43,19:55,51
8512,Kolkata,Delhi,20:23,23:12,47
8655,Banglore,Raipur,15:43,19:55,54
8512,Kolkata,Delhi,20:23,23:12,78
1210,Nagpur,Mumbai,12:10,14:20,-10
8512,Kolkata,Delhi,20:23,23:12,94
8655,Banglore,Raipur,15:43,19:55,25
1210,Nagpur,Mumbai,12:10,14:20,127
1210,Nagpur,Mumbai,12:10,14:20,134
1210,Nagpur,Mumbai,12:10,14:20,150
1210,Nagpur,Mumbai,12:10,14:20,112
8655,Banglore,Raipur,15:43,19:55,-13
8512,Kolkata,Delhi,20:23,23:12,87
1210,Nagpur,Mumbai,12:10,14:20,52
8655,Banglore,Raipur,15:43,19:55,66
1210,Nagpur,Mumbai,12:10,14:20,118
8655,Banglore,Raipur,15:43,19:55,119
8655,Banglore,Raipur,15:43,19:55,29
1210,Nagpur,Mumbai,12:10,14:20,18
8655,Banglore,Raipur,15:43,19:55,60
1210,Nagpur,Mumbai,12:10,14:20,72
8655,Banglore,Raipur,15:43,19:55,16
8655,Banglore,Raipur,15:43,19:55,105
8512,Kolkata,Delhi,20:23,23:12,117
8512,Kolkata,Delhi,20:23,23:12,18
8655,Banglore,Raipur,15:43,19:55,63
8512,Kolkata,Delhi,20:23,23:12,-11
8655,Banglore,Raipur,15:43,19:55,7
1210,Nagpur,Mumbai,12:10,14:20,102
8655,Banglore,Raipur,15:43,19:55,76
1210,Nagpur,Mumbai,12:10,14:20,108
8655,Banglore,Raipur,15:43,19:55,56
1210,Nagpur,Mumbai,12:10,14:20,78
8512,Kolkata,Delhi,20:23,23:12,-9
8655,Banglore,Raipur,15:43,19:55,100
1210,Nagpur,Mumbai,12:10,14:20,115
8512,Kolkata,Delhi,20:23,23:12,51
8512,Kolkata,Delhi,20:23,23:12,93
8655,Banglore,Raipur,15:43,19:55,20
8655,Banglore,Raipur,15:43,19:55,113
8655,Banglore,Raipur,15:43,19:55,32
8655,Banglore,Raipur,15:43,19:55,114
8655,Banglore,Raipur,15:43,19:55,67
1210,Nagpur,Mumbai,12:10,14:20,20
1210,Nagpur,Mumbai,12:10,14:20,13
1210,Nagpur,Mumbai,12:10,14:20,2
8512,Kolkata,Delhi,20:23,23:12,108
8655,Banglore,Raipur,15:43,19:55,139
1210,Nagpur,Mumbai,12:10,14:20,113
