Started On,Status,Delay,Reach Time
2017-01-01 20:35:00,Late,25 Mins,2017-01-03 06:15:00
2017-01-02 20:35:00,Late,10 Mins,2017-01-04 06:00:00
2017-01-03 20:35:00,Late,15 Mins,2017-01-05 06:05:00
2017-01-04 20:35:00,Late,15 Mins,2017-01-06 06:05:00
2017-01-05 20:35:00,Late,14 Mins,2017-01-07 06:04:00
2017-01-06 20:35:00,Late,11 Mins,2017-01-09 06:01:00
2017-01-07 20:35:00,Before,-,2017-01-09 05:35:00
2017-01-08 20:35:00,Late,15 Mins,2017-01-10 06:05:00
2017-01-09 20:35:00,Late,33 Mins,2017-01-11 06:23:00
2017-01-10 20:35:00,Late,10 Mins,2017-01-12 06:00:00
2017-01-11 20:35:00,Before,-,2017-01-13 05:36:00
2017-01-12 20:35:00,Late,13 Mins,2017-01-14 06:03:00
2017-01-13 20:35:00,Before,-,2017-01-15 05:30:00
2017-01-14 20:35:00,Late,08 Mins,2017-01-16 05:58:00
2017-01-15 20:35:00,Before,-,2017-01-17 05:47:00
2017-01-16 20:35:00,Before,-,2017-01-18 05:39:00
2017-01-17 20:35:00,Late,15 Mins,2017-01-19 06:05:00
2017-01-18 20:35:00,Late,45 Mins,2017-01-20 06:35:00
2017-01-19 20:35:00,Late,15 Mins,2017-01-21 06:05:00
2017-01-20 20:35:00,Late,37 Mins,2017-01-22 06:27:00
2017-01-21 20:50:00,On Time,-,2017-01-23 05:50:00
2017-01-22 20:35:00,Late,15 Mins,2017-01-24 06:05:00
2017-01-23 20:45:00,Late,28 Mins,2017-01-25 06:18:00
2017-01-24 20:35:00,Late,01 Hr 25 Mins,2017-01-26 07:15:00
2017-01-25 20:45:00,Late,14 Mins,2017-01-27 06:04:00
2017-01-26 20:35:00,Late,15 Mins,2017-01-28 06:05:00
2017-01-27 20:35:00,Late,58 Mins,2017-01-29 06:48:00
2017-01-28 20:35:00,Before,-,2017-01-30 05:45:00
2017-01-29 20:35:00,Late,15 Mins,2017-01-31 06:05:00
2017-01-30 20:35:00,Late,15 Mins,2017-02-01 06:05:00
2017-01-31 20:35:00,Late,10 Mins,2017-02-02 06:00:00
2017-02-01 20:35:00,Late,10 Mins,2017-02-03 06:00:00
2017-02-02 20:35:00,Late,01 Hr 35 Mins,2017-02-04 07:25:00
2017-02-03 20:35:00,Late,15 Mins,2017-02-05 06:05:00
2017-02-04 20:35:00,Late,53 Mins,2017-02-06 06:43:00
2017-02-05 20:35:00,Late,01 Hr 35 Mins,2017-02-07 07:25:00
2017-02-06 20:35:00,Late,35 Mins,2017-02-08 06:25:00
2017-02-07 20:35:00,Late,15 Mins,2017-02-09 06:05:00
2017-02-08 20:35:00,Late,50 Mins,2017-02-10 06:40:00
2017-02-09 20:35:00,Late,37 Mins,2017-02-11 06:27:00
2017-02-10 20:35:00,Late,15 Mins,2017-02-12 06:05:00
2017-02-11 20:35:00,Late,15 Mins,2017-02-13 06:05:00
2017-02-12 20:35:00,Late,15 Mins,2017-02-14 06:05:00
2017-02-13 20:35:00,Late,15 Mins,2017-02-15 06:05:00
2017-02-14 20:35:00,Late,50 Mins,2017-02-16 06:40:00
2017-02-15 20:35:00,Late,15 Mins,2017-02-17 06:05:00
2017-02-16 20:35:00,Late,01 Hr 10 Mins,2017-02-18 07:00:00
2017-02-17 20:35:00,Late,25 Mins,2017-02-19 06:15:00
2017-02-18 20:35:00,Late,33 Mins,2017-02-20 06:23:00
2017-02-19 20:35:00,Late,15 Mins,2017-02-21 06:05:00
2017-02-20 20:35:00,Late,15 Mins,2017-02-22 06:05:00
2017-02-21 20:35:00,Late,10 Mins,2017-02-23 06:00:00
2017-02-22 20:35:00,Late,15 Mins,2017-02-24 06:05:00
2017-02-23 20:35:00,Before,-,2017-02-25 05:35:00
2017-02-24 20:35:00,Late,10 Mins,2017-02-26 06:00:00
2017-02-25 20:35:00,Late,14 Mins,2017-02-27 06:04:00
2017-02-26 20:35:00,Late,01 Hr 35 Mins,2017-02-28 07:25:00
2017-02-27 00:30:00,Late,04 Hrs 45 Mins,2017-03-01 10:35:00
2017-03-01 20:35:00,Late,15 Mins,2017-03-03 06:05:00
2017-03-02 20:35:00,Late,15 Mins,2017-03-04 06:05:00
2017-03-03 20:35:00,Late,15 Mins,2017-03-05 06:05:00
2017-03-04 20:39:00,Late,15 Mins,2017-03-06 06:05:00
2017-03-05 20:35:00,Late,10 Mins,2017-03-07 06:00:00
2017-03-06 20:35:00,Late,35 Mins,2017-03-09 06:25:00
2017-03-07 20:35:00,Late,10 Mins,2017-03-09 06:00:00
2017-03-08 20:35:00,Late,15 Mins,2017-03-10 06:05:00
2017-03-09 20:50:00,Late,15 Mins,2017-03-11 06:05:00
2017-03-10 20:35:00,Late,01 Hr 30 Mins,2017-03-12 07:20:00
2017-03-11 20:35:00,On Time,-,2017-03-13 05:50:00
2017-03-12 20:35:00,Late,15 Mins,2017-03-14 06:05:00
2017-03-13 20:35:00,Late,15 Mins,2017-03-15 06:05:00
2017-03-14 20:35:00,Late,15 Mins,2017-03-16 06:05:00
2017-03-15 20:35:00,Late,15 Mins,2017-03-18 06:05:00
2017-03-16 20:35:00,Late,15 Mins,2017-03-18 06:05:00
2017-03-17 20:35:00,Late,02 Hrs 00 Min,2017-03-19 07:50:00
2017-03-18 20:45:00,Late,15 Mins,2017-03-20 06:05:00
2017-03-19 20:35:00,Late,15 Mins,2017-03-21 06:05:00
2017-03-20 20:35:00,Late,15 Mins,2017-03-22 06:05:00
2017-03-21 20:35:00,Late,15 Mins,2017-03-23 06:05:00
2017-03-22 20:35:00,Late,15 Mins,2017-03-24 06:05:00
2017-03-23 20:35:00,Late,15 Mins,2017-03-25 06:05:00
