Started On,Status,Delay,Reach Time
2017-03-01 18:25:00,Late,01 Hr 55 Mins,2017-03-03 05:45:00
2017-03-02 18:25:00,Late,01 Hr 00 Min,2017-03-04 04:50:00
2017-03-03 18:25:00,Late,35 Mins,2017-03-05 04:25:00
2017-03-04 18:33:00,Late,15 Mins,2017-03-06 04:05:00
2017-03-05 18:25:00,Late,15 Mins,2017-03-07 04:05:00
2017-03-06 18:35:00,Late,01 Hr 10 Mins,2017-03-08 05:00:00
2017-03-07 18:25:00,Late,14 Mins,2017-03-09 04:04:00
2017-03-08 18:25:00,Late,15 Mins,2017-03-10 04:05:00
2017-03-09 18:30:00,Late,15 Mins,2017-03-11 04:05:00
2017-03-10 18:25:00,Late,01 Hr 30 Mins,2017-03-12 05:20:00
2017-03-11 18:25:00,Late,30 Mins,2017-03-13 04:20:00
2017-03-12 18:30:00,Late,15 Mins,2017-03-14 04:05:00
2017-03-13 18:25:00,On Time,-,2017-03-15 03:50:00
2017-03-14 18:25:00,Late,47 Mins,2017-03-16 04:37:00
2017-03-15 18:30:00,Late,01 Hr 20 Mins,2017-03-17 05:10:00
2017-03-16 18:35:00,Late,15 Mins,2017-03-18 04:05:00
2017-03-17 18:35:00,Late,01 Hr 25 Mins,2017-03-19 05:15:00
2017-03-18 18:37:00,Late,48 Mins,2017-03-20 04:38:00
2017-03-19 18:35:00,Late,34 Mins,2017-03-22 04:24:00
2017-03-20 18:33:00,Late,01 Hr 15 Mins,2017-03-22 05:05:00
2017-03-21 18:25:00,Late,50 Mins,2017-03-23 04:40:00
2017-03-22 18:30:00,Late,15 Mins,2017-03-24 04:05:00
